年月日,陸の平均気圧(hPa),海の平均気圧(hPa),降水量(mm),平均気温(℃),平均湿度(%),平均風速(m/s),日照時間(h)
2019/2/2,1023.1,1023.7,0.0,5.6,59.0,1.4,9.8
2019/2/3,1018.6,1019.2,6.5,6.2,85.0,1.9,0.4
2019/2/4,1016.1,1016.7,0.0,11.8,65.0,1.9,9.0
2019/2/5,1021.5,1022.1,2.5,9.6,66.0,1.3,5.4
2019/2/6,1015.9,1016.5,14.5,10.9,86.0,1.3,5.0
2019/2/7,1014.3,1014.9,0.0,12.8,74.0,1.8,5.1
2019/2/8,1016.1,1016.7,0.0,9.7,50.0,1.9,3.9
2019/2/9,1017.1,1017.7,0.0,8.2,58.0,1.8,0.8
2019/2/10,1024.4,1025.0,0.0,7.7,51.0,1.7,9.8
2019/2/11,1024.0,1024.6,8.0,7.7,78.0,1.3,1.2
2019/2/12,1027.8,1028.4,0.0,7.4,54.0,1.7,10.1
2019/2/13,1024.8,1025.4,0.0,8.8,55.0,1.5,7.6
2019/2/14,1025.7,1026.3,0.0,7.5,50.0,1.6,2.5
2019/2/15,1022.1,1022.7,7.0,6.6,85.0,0.9,0.0
2019/2/16,1014.9,1015.5,1.5,9.1,70.0,1.4,4.8
2019/2/17,1019.6,1020.2,0.0,7.2,59.0,1.6,10.2
2019/2/18,1024.9,1025.5,0.0,8.3,63.0,1.4,7.2
2019/2/19,1018.3,1018.9,33.0,10.6,94.0,1.6,0.0
2019/2/20,1016.4,1017.0,0.0,13.9,63.0,0.0,0.0
2019/2/21,1020.9,1021.5,0.0,10.5,46.0,2.2,9.5
2019/2/22,1017.2,1017.8,2.5,10.0,71.0,1.2,0.9
2019/2/23,1016.7,1017.3,0.5,10.5,53.0,2.2,10.2
2019/2/24,1021.5,1022.1,0.0,8.9,59.0,1.4,6.5
2019/2/25,1016.9,1017.5,0.0,10.9,74.0,1.6,9.7
2019/2/26,1018.3,1018.9,0.0,12.1,52.0,1.6,10.4
2019/2/27,1020.7,1021.3,0.5,10.0,68.0,1.5,0.2
2019/2/28,1012.0,1012.6,4.5,12.3,76.0,1.7,0.6
2019/3/1,1016.9,1017.5,0.0,12.1,49.0,1.5,10.3
2019/3/2,1017.8,1018.4,3.0,11.2,63.0,1.3,3.9
2019/3/3,1011.3,1011.9,15.5,10.5,92.0,1.5,0.0
2019/3/4,1006.2,1006.8,6.0,13.0,71.0,2.2,5.6
2019/3/5,1019.2,1019.8,0.0,11.4,55.0,1.6,10.0
2019/3/6,1013.6,1014.2,13.5,11.1,84.0,1.4,0.0
2019/3/7,1009.9,1010.5,0.0,11.0,63.0,2.1,6.7
2019/3/8,1022.4,1023.0,0.0,9.8,40.0,2.0,11.1
2019/3/9,1024.8,1025.4,0.0,10.1,64.0,1.5,7.3
2019/3/10,1009.6,1010.2,21.5,12.3,90.0,1.6,0.0
2019/3/11,1003.7,1004.3,8.0,13.9,64.0,1.9,8.8
2019/3/12,1009.1,1009.7,0.0,11.6,55.0,2.6,8.9
2019/3/13,1014.9,1015.5,0.0,9.2,45.0,0.0,0.0
2019/3/14,1021.6,1022.2,0.0,8.7,51.0,1.4,8.1
2019/3/15,1019.5,1020.1,0.0,9.4,55.0,1.7,9.8
2019/3/16,1016.0,1016.6,1.0,10.4,52.0,2.1,10.4
2019/3/17,1020.0,1020.6,0.0,9.9,55.0,2.4,6.7
2019/3/18,1022.2,1022.8,0.5,9.7,63.0,1.7,8.3
2019/3/19,1014.1,1014.7,22.5,10.7,88.0,1.2,1.5
2019/3/20,1017.4,1018.0,0.0,13.1,64.0,1.7,10.0
2019/3/21,1008.1,1008.7,42.0,15.2,96.0,1.2,0.0
2019/3/22,1009.0,1009.6,0.5,14.5,60.0,2.4,5.1
2019/3/23,1014.7,1015.3,0.0,10.0,51.0,1.8,6.4
2019/3/24,1018.9,1019.5,0.0,9.3,60.0,1.6,10.2
2019/3/25,1018.2,1018.8,0.5,10.3,56.0,1.3,3.7
2019/3/26,1014.3,1014.9,1.0,13.9,54.0,1.8,10.0
2019/3/27,1016.7,1017.3,0.0,13.8,49.0,1.7,10.8
2019/3/28,1010.3,1010.9,0.0,15.3,64.0,1.3,4.9
2019/3/29,1013.5,1014.1,0.0,15.1,67.0,1.7,3.8
2019/3/30,1010.8,1011.4,8.5,14.2,81.0,1.6,2.4
2019/3/31,1013.3,1013.9,0.0,12.6,39.0,3.4,11.0
2019/4/1,1017.2,1017.8,0.0,9.5,45.0,2.3,9.9
2019/4/2,1019.5,1020.1,0.0,9.3,48.0,1.7,9.4
2019/4/3,1021.0,1021.6,0.0,10.0,49.0,1.9,10.5
2019/4/4,1017.8,1018.4,0.0,11.0,55.0,1.7,11.8
2019/4/5,1010.8,1011.4,0.0,13.5,56.0,1.5,6.4
2019/4/6,1010.0,1010.6,0.0,15.6,58.0,1.5,11.7
2019/4/7,1008.1,1008.7,0.0,16.2,67.0,1.7,11.4
2019/4/8,1009.2,1009.8,0.0,18.4,49.0,2.4,11.8
2019/4/9,1017.3,1017.9,0.0,14.6,39.0,2.5,11.1
2019/4/10,1003.8,1004.4,37.5,14.0,80.0,1.9,0.8
2019/4/11,1010.1,1010.7,0.0,14.1,48.0,2.3,3.7
2019/4/12,1014.6,1015.2,0.0,13.4,55.0,1.6,4.5
2019/4/13,1021.3,1021.9,0.0,12.8,58.0,1.9,9.4
2019/4/14,1016.2,1016.8,51.5,12.6,91.0,1.4,0.0
2019/4/15,1014.2,1014.8,0.0,14.7,59.0,2.1,12.3
2019/4/16,1018.7,1019.3,0.0,14.1,66.0,1.8,10.6
2019/4/17,1013.5,1014.1,0.0,15.7,59.0,1.6,5.3
2019/4/18,1013.3,1013.9,0.0,16.2,68.0,1.9,12.3
2019/4/19,1013.0,1013.6,0.0,18.2,73.0,1.8,11.5
2019/4/20,1014.2,1014.8,0.0,17.7,75.0,1.9,5.6
2019/4/21,1012.3,1012.9,0.0,20.3,74.0,1.8,7.5
2019/4/22,1013.6,1014.2,0.0,20.6,77.0,1.7,7.1
2019/4/23,1016.8,1017.4,7.0,19.0,79.0,1.7,2.4
2019/4/24,1010.6,1011.2,61.0,18.5,97.0,1.4,0.0
2019/4/25,1004.4,1005.0,0.5,20.9,88.0,1.4,3.6
2019/4/26,1004.3,1004.9,0.0,22.5,59.0,3.0,10.5
2019/4/27,1014.9,1015.5,0.0,14.9,45.0,2.9,10.4
2019/4/28,1021.2,1021.8,0.0,14.2,55.0,1.6,4.6
2019/4/29,1017.6,1018.2,27.0,14.1,90.0,1.1,0.0
2019/4/30,1005.5,1006.1,22.5,17.4,94.0,1.5,0.5
2019/5/1,1002.3,1002.9,9.0,18.2,97.0,1.0,0.0
2019/5/2,1009.4,1010.0,0.0,18.9,75.0,1.9,11.9
2019/5/3,1015.1,1015.7,0.0,18.6,72.0,2.0,7.1
2019/5/4,1017.2,1017.8,0.0,18.9,63.0,2.1,12.3
2019/5/5,1018.6,1019.2,3.5,18.7,67.0,2.0,11.1
2019/5/6,1013.4,1014.0,1.0,18.1,81.0,1.6,4.8
2019/5/7,1012.8,1013.4,0.0,17.1,36.0,2.3,13.0
2019/5/8,1014.0,1014.6,0.0,16.0,52.0,1.8,10.9
2019/5/9,1010.8,1011.4,0.0,17.4,70.0,1.6,1.9
2019/5/10,1012.2,1012.8,0.0,18.9,65.0,1.9,11.7
2019/5/11,1012.7,1013.3,0.0,19.4,65.0,2.0,11.5
2019/5/12,1014.5,1015.1,0.0,20.2,59.0,1.8,10.2
2019/5/13,1016.8,1017.4,0.0,19.9,66.0,1.8,10.8
2019/5/14,1015.0,1015.6,0.5,19.0,71.0,1.4,0.4
2019/5/15,1013.9,1014.5,0.0,19.8,73.0,2.0,8.9
2019/5/16,1014.1,1014.7,0.0,20.9,69.0,1.8,11.8
2019/5/17,1016.6,1017.2,0.0,21.0,68.0,2.1,8.1
2019/5/18,1017.1,1017.7,0.0,20.3,72.0,2.2,0.0
2019/5/19,1016.6,1017.2,7.0,19.9,80.0,2.0,0.0
2019/5/20,1008.0,1008.6,122.5,19.6,95.0,3.1,0.0
2019/5/21,1002.8,1003.4,0.0,21.7,59.0,1.9,11.5
2019/5/22,1006.5,1007.1,0.0,20.5,54.0,2.1,13.1
2019/5/23,1010.1,1010.7,0.0,20.6,54.0,1.9,13.2
2019/5/24,1012.5,1013.1,0.0,22.4,55.0,1.9,13.3
2019/5/25,1016.0,1016.6,0.0,23.7,57.0,1.9,12.5
2019/5/26,1018.0,1018.6,0.0,23.4,73.0,1.9,7.9
2019/5/27,1015.1,1015.7,0.0,22.3,73.0,1.7,0.7
2019/5/28,1007.2,1007.8,40.5,22.5,91.0,1.2,0.4
2019/5/29,1007.9,1008.5,0.0,22.6,41.0,2.0,8.2
2019/5/30,1012.3,1012.9,0.0,21.0,58.0,1.7,11.4
2019/5/31,1010.2,1010.8,0.0,21.8,73.0,1.4,0.5
2019/6/1,1009.9,1010.5,0.0,21.9,66.0,1.8,8.7
2019/6/2,1008.9,1009.5,11.5,19.3,88.0,1.6,0.0
2019/6/3,1009.2,1009.8,0.5,22.7,76.0,1.7,9.0
2019/6/4,1010.8,1011.4,1.0,23.3,78.0,1.5,1.1
2019/6/5,1010.7,1011.3,9.0,23.4,80.0,1.9,8.6
2019/6/6,1012.8,1013.4,0.0,24.5,78.0,1.9,11.4
2019/6/7,1003.5,1004.1,52.5,23.6,90.0,1.3,0.5
2019/6/8,1003.6,1004.2,0.0,24.3,62.0,1.8,7.2
2019/6/9,1003.6,1004.2,0.0,23.1,72.0,1.9,6.2
2019/6/10,1002.2,1002.8,5.5,22.6,80.0,1.7,3.8
2019/6/11,1004.4,1005.0,7.0,21.5,81.0,1.7,6.9
2019/6/12,1007.0,1007.6,0.0,22.2,66.0,1.8,12.6
2019/6/13,1010.7,1011.3,0.0,22.6,70.0,0.0,11.5
2019/6/14,1006.5,1007.1,26.0,20.7,87.0,2.1,0.0
2019/6/15,992.3,992.9,31.5,20.0,93.0,1.7,0.6
2019/6/16,1002.7,1003.3,0.0,23.3,61.0,1.9,9.3
2019/6/17,1011.6,1012.2,0.0,22.1,69.0,1.9,10.1
2019/6/18,1011.7,1012.3,0.0,22.2,80.0,1.3,2.3
2019/6/19,1006.5,1007.1,0.0,23.6,75.0,1.5,9.0
2019/6/20,1006.0,1006.6,0.0,24.5,73.0,1.9,10.6
2019/6/21,1006.8,1007.4,1.5,23.6,77.0,1.4,0.5
2019/6/22,1003.2,1003.8,0.0,24.6,75.0,1.9,10.6
2019/6/23,1004.0,1004.6,84.0,23.2,82.0,1.8,3.1
2019/6/24,1009.9,1010.5,0.0,22.9,76.0,1.8,11.2
2019/6/25,1015.6,1016.2,0.0,23.9,73.0,1.6,13.3
2019/6/26,1013.5,1014.1,34.5,22.8,90.0,1.2,0.0
2019/6/27,1005.1,1005.7,91.0,24.6,96.0,2.3,0.0
2019/6/28,1003.0,1003.6,1.0,25.1,91.0,1.3,2.0
2019/6/29,1002.1,1002.7,6.5,25.7,91.0,1.5,3.3
2019/6/30,1001.5,1002.1,22.0,25.7,96.0,1.4,0.0
2019/7/1,1005.6,1006.2,45.0,23.7,94.0,1.1,0.0
2019/7/2,1009.0,1009.6,17.5,23.0,91.0,1.3,0.0
2019/7/3,1008.8,1009.4,35.5,23.1,95.0,1.1,0.2
2019/7/4,1004.6,1005.2,3.0,24.5,85.0,1.5,4.4
2019/7/5,1001.4,1002.0,0.0,25.3,81.0,1.8,4.3
2019/7/6,1000.2,1000.8,0.0,26.6,76.0,1.9,4.4
2019/7/7,1004.7,1005.3,0.0,25.8,76.0,1.8,6.2
2019/7/8,1005.7,1006.3,12.5,25.1,81.0,1.5,1.7
2019/7/9,1004.9,1005.5,10.0,23.3,92.0,1.4,0.0
2019/7/10,1007.6,1008.2,53.5,23.0,97.0,1.8,0.0
2019/7/11,1007.0,1007.6,27.0,24.4,95.0,1.0,0.0
2019/7/12,1005.2,1005.8,0.0,25.7,83.0,1.7,11.7
2019/7/13,1002.9,1003.5,48.0,23.2,90.0,1.3,0.0
2019/7/14,999.9,1000.5,4.0,24.3,94.0,1.4,0.2
2019/7/15,1004.9,1005.5,1.5,25.5,88.0,1.4,1.8
2019/7/16,1010.0,1010.6,10.0,25.7,86.0,1.5,3.6
2019/7/17,1012.4,1013.0,1.5,25.9,84.0,1.5,7.0
2019/7/18,1011.8,1012.4,69.0,24.7,95.0,1.2,0.0
2019/7/19,1012.6,1013.2,83.0,24.2,98.0,0.8,0.0
2019/7/20,1012.6,1013.2,21.5,26.9,93.0,3.0,0.0
2019/7/21,1011.4,1012.0,8.5,27.3,91.0,3.3,0.3
2019/7/22,1008.8,1009.4,16.0,26.4,93.0,1.5,0.1
2019/7/23,1006.3,1006.8,0.5,27.1,87.0,1.3,3.9
2019/7/24,1007.2,1007.8,0.0,26.9,84.0,1.2,0.9
2019/7/25,1009.1,1009.7,0.0,28.1,78.0,1.6,8.7
2019/7/26,1007.6,1008.1,0.0,28.0,75.0,1.7,7.3
2019/7/27,1008.1,1008.7,0.0,29.4,72.0,2.1,10.5
2019/7/28,1013.0,1013.6,5.0,28.4,81.0,1.6,7.0
2019/7/29,1013.1,1013.7,0.0,28.6,77.0,1.9,8.8
2019/7/30,1011.7,1012.3,0.0,29.7,78.0,1.9,9.3
2019/7/31,1012.3,1012.9,0.0,29.7,76.0,1.7,12.3
2019/8/1,1012.1,1012.7,0.0,29.7,74.0,1.6,12.3
2019/8/2,1011.3,1011.9,0.0,29.8,72.0,1.8,12.1
2019/8/3,1011.3,1011.9,0.0,29.1,76.0,1.7,6.4
2019/8/4,1010.5,1011.0,0.0,29.2,74.0,1.8,8.6
2019/8/5,1007.7,1008.3,2.5,29.3,73.0,1.8,6.6
2019/8/6,1008.4,1009.0,63.0,27.2,92.0,2.8,0.0
2019/8/7,1010.0,1010.6,2.0,28.3,86.0,1.7,2.7
2019/8/8,1010.3,1010.9,0.0,28.3,80.0,1.6,11.1
2019/8/9,1008.9,1009.5,0.0,28.1,75.0,1.7,12.3
2019/8/10,1007.9,1008.5,0.0,28.1,74.0,1.7,11.4
2019/8/11,1006.3,1006.9,0.0,28.5,74.0,1.7,9.0
2019/8/12,1004.0,1004.6,0.0,30.0,72.0,1.8,8.5
2019/8/13,999.9,1000.5,0.0,31.6,64.0,2.4,6.6
2019/8/14,993.6,994.1,28.5,28.9,80.0,2.2,0.3
2019/8/15,984.1,984.6,94.5,27.3,93.0,6.0,0.0
2019/8/16,997.9,998.4,0.0,28.7,82.0,1.8,6.6
2019/8/17,1003.3,1003.9,0.0,28.6,76.0,1.7,12.0
2019/8/18,1006.5,1007.1,0.0,28.0,74.0,1.6,8.0
2019/8/19,1009.2,1009.8,15.5,25.5,90.0,1.6,0.2
2019/8/20,1010.1,1010.6,1.5,27.8,88.0,1.4,1.4
2019/8/21,1010.3,1010.9,0.0,28.6,84.0,1.6,2.8
2019/8/22,1009.5,1010.1,0.0,28.9,81.0,2.0,7.5
2019/8/23,1008.6,1009.2,17.5,27.3,88.0,1.3,0.1
2019/8/24,1010.8,1011.4,18.0,24.2,90.0,1.2,0.2
2019/8/25,1012.2,1012.8,0.0,24.4,81.0,1.3,2.8
2019/8/26,1013.2,1013.8,0.0,24.6,78.0,1.7,1.9
2019/8/27,1012.3,1012.9,12.0,24.1,94.0,1.1,0.0
2019/8/28,1009.6,1010.2,12.0,25.9,95.0,1.0,0.1
2019/8/29,1008.7,1009.3,7.5,27.6,88.0,1.3,1.8
2019/8/30,1008.6,1009.2,5.5,26.5,91.0,1.3,0.4
2019/8/31,1013.7,1014.3,0.5,23.6,85.0,1.7,1.1
2019/9/1,1017.3,1017.9,1.5,25.4,80.0,1.3,2.1
2019/9/2,1017.0,1017.6,15.0,27.2,83.0,1.5,8.6
2019/9/3,1015.7,1016.3,67.5,27.4,79.0,1.6,10.1
2019/9/4,1014.9,1015.5,1.0,26.9,83.0,1.4,6.7
2019/9/5,1014.6,1015.2,21.0,26.1,90.0,1.1,0.7
2019/9/6,1013.2,1013.8,0.5,28.0,81.0,2.0,5.0
2019/9/7,1011.4,1011.9,9.0,28.6,80.0,2.5,6.7
2019/9/8,1009.6,1010.2,27.5,27.9,84.0,1.4,5.8
2019/9/9,1011.2,1011.8,0.0,28.2,80.0,1.7,10.2
2019/9/10,1013.6,1014.2,0.0,29.0,81.0,1.7,9.2
2019/9/11,1012.8,1013.4,0.0,29.4,82.0,1.7,9.6
2019/9/12,1011.1,1011.6,0.0,28.8,67.0,1.8,7.5
2019/9/13,1010.5,1011.1,3.0,26.0,78.0,1.5,2.1
2019/9/14,1010.4,1010.9,0.0,26.8,74.0,1.8,6.1
2019/9/15,1006.5,1007.0,0.0,27.4,74.0,1.7,11.7
2019/9/16,1002.7,1003.3,0.0,28.5,58.0,2.3,11.8
2019/9/17,1007.3,1007.9,0.0,28.4,56.0,1.9,10.3
2019/9/18,1008.8,1009.4,0.0,27.6,63.0,1.8,6.4
2019/9/19,1012.1,1012.7,0.0,25.9,49.0,2.0,11.0
2019/9/20,1014.9,1015.5,4.0,20.7,75.0,1.7,0.0
2019/9/21,1016.0,1016.6,0.0,21.6,85.0,1.8,0.0
2019/9/22,1008.7,1009.3,58.5,26.4,90.0,4.1,0.0
2019/9/23,1008.0,1008.6,4.5,27.7,68.0,2.4,7.1
2019/9/24,1013.5,1014.1,1.0,23.8,75.0,1.3,0.5
2019/9/25,1018.6,1019.2,0.0,23.9,69.0,1.9,10.8
2019/9/26,1022.5,1023.1,0.0,24.5,69.0,1.6,5.7
2019/9/27,1023.2,1023.8,10.0,24.1,86.0,1.5,0.3
2019/9/28,1019.5,1020.1,0.0,24.8,82.0,1.5,0.1
2019/9/29,1015.1,1015.7,0.0,25.6,83.0,1.5,4.8
2019/9/30,1015.6,1016.2,0.0,26.6,83.0,1.4,7.0
2019/10/1,1018.2,1018.8,0.0,26.1,83.0,1.4,1.6
2019/10/2,1017.0,1017.6,14.0,24.6,87.0,1.3,0.3
2019/10/3,1009.1,1009.7,218.0,25.1,91.0,2.5,1.1
2019/10/4,1009.3,1009.9,0.0,25.5,67.0,1.8,10.8
2019/10/5,1012.1,1012.7,0.0,23.0,71.0,1.8,10.8
2019/10/6,1016.9,1017.5,1.0,24.1,64.0,1.6,7.5
2019/10/7,1017.6,1018.2,0.0,23.2,72.0,1.4,5.8
2019/10/8,1012.7,1013.3,1.0,23.5,68.0,1.9,4.0
2019/10/9,1015.0,1015.6,0.0,22.0,47.0,2.0,10.7
2019/10/10,1013.3,1013.9,0.0,22.5,70.0,1.9,8.7
2019/10/11,1005.5,1006.0,0.0,26.2,67.0,2.5,2.3
2019/10/12,997.4,997.9,0.0,25.6,57.0,3.9,0.4
2019/10/13,1013.0,1013.6,0.0,22.5,48.0,2.6,10.7
2019/10/14,1017.4,1018.0,0.0,22.7,61.0,1.8,7.8
2019/10/15,1020.8,1021.4,0.0,21.1,51.0,2.1,9.0
2019/10/16,1021.9,1022.5,0.0,19.1,57.0,1.4,10.6
2019/10/17,1020.6,1021.2,0.0,20.5,75.0,1.7,4.3
2019/10/18,1017.5,1018.1,39.0,21.7,91.0,1.5,0.0
2019/10/19,1013.4,1014.0,3.0,23.2,90.0,1.2,2.8
2019/10/20,1016.1,1016.7,0.0,22.4,68.0,1.4,5.3
2019/10/21,1012.1,1012.7,1.0,19.3,81.0,1.6,0.0
2019/10/22,1011.3,1011.9,0.0,23.1,56.0,2.3,9.2
2019/10/23,1015.0,1015.6,0.0,20.3,72.0,1.4,3.5
2019/10/24,1013.7,1014.3,100.0,18.4,96.0,1.2,0.0
2019/10/25,1010.3,1010.9,6.0,21.2,76.0,1.7,6.5
2019/10/26,1012.8,1013.4,0.0,20.3,73.0,1.5,5.0
2019/10/27,1013.4,1014.0,0.0,19.5,65.0,1.6,6.6
2019/10/28,1016.2,1016.8,0.0,18.9,71.0,1.4,6.5
2019/10/29,1015.0,1015.6,17.0,17.4,88.0,1.3,3.4
2019/10/30,1018.6,1019.2,0.0,17.3,75.0,1.6,9.2
2019/10/31,1019.3,1019.9,0.0,17.1,69.0,1.6,9.0
2019/11/1,1018.2,1018.8,0.0,17.2,66.0,1.7,10.2
2019/11/2,1018.4,1019.0,0.0,17.5,70.0,1.6,9.4
2019/11/3,1015.7,1016.3,0.0,18.0,78.0,1.1,1.2
2019/11/4,1016.4,1017.0,0.0,16.6,60.0,2.2,8.3
2019/11/5,1015.8,1016.4,0.0,14.9,59.0,1.6,10.0
2019/11/6,1015.2,1015.8,0.0,14.1,59.0,1.5,10.1
2019/11/7,1013.8,1014.4,0.0,15.0,71.0,1.4,4.0
2019/11/8,1015.5,1016.1,0.0,16.2,60.0,1.5,6.5
2019/11/9,1015.7,1016.3,0.0,15.4,60.0,1.9,9.3
2019/11/10,1014.4,1015.0,0.0,15.2,71.0,1.7,7.9
2019/11/11,1009.9,1010.5,0.0,16.3,69.0,1.9,7.4
2019/11/12,1017.3,1017.9,0.0,16.1,65.0,1.5,8.9
2019/11/13,1018.1,1018.7,0.0,16.6,76.0,1.3,2.5
2019/11/14,1015.5,1016.1,0.0,15.3,60.0,2.1,7.4
2019/11/15,1019.3,1019.9,0.0,11.8,56.0,1.7,9.5
2019/11/16,1020.0,1020.6,0.0,12.7,60.0,1.6,9.5
2019/11/17,1022.4,1023.0,0.0,14.6,61.0,1.7,9.0
2019/11/18,1016.2,1016.8,7.5,15.8,89.0,1.3,0.0
2019/11/19,1016.1,1016.7,0.0,13.6,58.0,2.3,8.8
2019/11/20,1024.1,1024.7,0.0,10.2,56.0,2.0,9.4
2019/11/21,1028.6,1029.2,0.0,11.2,64.0,1.5,9.4
2019/11/22,1026.0,1026.6,6.0,11.4,89.0,0.0,0.0
2019/11/23,1022.9,1023.5,0.0,16.0,87.0,1.5,9.2
2019/11/24,1019.3,1019.9,1.5,13.5,93.0,1.4,0.8
2019/11/25,1017.7,1018.3,0.0,17.1,76.0,1.3,1.8
2019/11/26,1023.8,1024.4,0.0,15.0,71.0,1.2,0.1
2019/11/27,1020.3,1020.9,1.0,15.1,85.0,1.2,0.0
2019/11/28,1020.6,1021.2,4.5,11.1,66.0,1.6,1.7
2019/11/29,1025.9,1026.5,0.0,8.5,64.0,1.5,9.4
2019/11/30,1028.1,1028.7,0.0,9.8,65.0,1.9,9.3
2019/12/1,1023.3,1023.9,1.0,11.6,80.0,1.6,2.1
2019/12/2,1012.3,1012.9,55.5,14.3,74.0,2.3,3.7
2019/12/3,1020.9,1021.5,0.0,9.3,54.0,1.8,8.3
2019/12/4,1024.6,1025.2,0.0,8.5,63.0,1.7,8.7
2019/12/5,1026.8,1027.4,0.0,8.6,61.0,1.7,4.1
2019/12/6,1026.8,1027.4,0.0,8.6,52.0,1.6,0.3
2019/12/7,1023.5,1024.1,0.0,8.2,66.0,1.3,0.0
2019/12/8,1023.7,1024.3,0.0,8.6,62.0,1.9,9.0
2019/12/9,1024.0,1024.6,0.0,9.3,74.0,1.4,7.1
2019/12/10,1021.5,1022.1,0.0,10.2,72.0,1.4,6.6
2019/12/11,1017.2,1017.8,0.0,9.8,77.0,1.5,1.2
2019/12/12,1020.0,1020.6,0.0,9.9,62.0,1.7,8.6
2019/12/13,1026.0,1026.6,0.0,8.5,60.0,1.5,8.7
2019/12/14,1023.2,1023.8,0.0,10.8,61.0,2.2,8.2
2019/12/15,1025.8,1026.4,0.0,11.2,55.0,1.3,8.3
2019/12/16,1024.7,1025.3,0.0,10.8,78.0,1.4,7.4
2019/12/17,1017.0,1017.6,0.5,13.1,89.0,1.2,0.0
2019/12/18,1014.3,1014.9,0.0,14.8,76.0,1.5,1.9
2019/12/19,1017.8,1018.4,0.0,12.1,72.0,1.2,0.6
2019/12/20,1022.9,1023.5,0.0,11.3,49.0,1.5,8.2
2019/12/21,1024.0,1024.6,0.0,10.5,57.0,1.3,3.5
2019/12/22,1015.9,1016.5,12.5,8.9,75.0,1.3,0.0
2019/12/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/24,1022.6,1023.2,0.0,9.3,73.0,1.4,5.6
2019/12/25,1022.3,1022.9,11.5,11.3,79.0,1.2,6.4
2019/12/26,1010.4,1011.0,20.5,12.9,96.0,1.1,0.0
2019/12/27,1013.8,1014.4,0.0,10.3,62.0,2.4,6.4
2019/12/28,1025.1,1025.7,0.0,7.6,70.0,1.7,8.7
2019/12/29,1027.5,1028.1,2.5,7.9,81.0,1.8,0.3
2019/12/30,1020.4,1021.0,12.5,11.8,96.0,1.6,0.0
2019/12/31,1019.9,1020.5,0.0,9.4,66.0,2.1,8.2
